3,110,0
4,110,0
5,110,0
6,110,0
3,120,1
4,120,1
5,120,0
6,120,0
7,120,1
8,120,1
3,130,1
4,130,1
5,130,0
6,130,0
7,130,1
8,130,1
3,140,1
4,140,1
5,140,0
6,140,0
7,140,1
8,140,1
3,150,1
4,150,1
5,150,0
6,150,0
7,150,1
8,150,1
3,160,1
4,160,1
5,160,0
6,160,0
7,160,1
8,160,1
3,170,1
4,170,1
5,170,0
6,170,0
7,170,1
8,170,1
3,180,1
4,180,1
5,180,0
6,180,0
7,180,1
8,180,1
3,190,1
4,190,1
5,190,0
6,190,0
7,190,1
8,190,1
3,200,1
4,200,1
5,200,0
6,200,0
7,200,1
8,200,1
3,210,1
4,210,1
5,210,0
6,210,0
7,210,1
8,210,1
3,220,1
4,220,1
5,220,0
6,220,0
7,220,1
8,220,1
3,230,1
4,230,1
5,230,0
6,230,0
7,230,1
8,230,1
3,240,1
4,240,1
5,240,0
6,240,0
7,240,1
8,240,1
3,250,1
4,250,1
5,250,0
6,250,1
7,250,1
8,250,1
3,260,1
4,260,1
5,260,0
6,260,1
7,260,1
8,260,1
3,270,1
4,270,1
5,270,0
6,270,1
7,270,1
8,270,1
3,280,1
4,280,2
5,280,0
6,280,1
7,280,1
8,280,1
3,290,1
4,290,2
5,290,0
6,290,1
7,290,1
8,290,1
3,300,1
4,300,2
5,300,0
6,300,1
7,300,1
8,300,1
3,310,1
4,310,2
5,310,0
6,310,1
7,310,1
8,310,1
3,320,1
4,320,3
5,320,0
6,320,1
7,320,1
8,320,1
3,330,1
4,330,4
5,330,0
6,330,1
7,330,1
8,330,1
3,340,1
4,340,4
5,340,0
6,340,1
7,340,1
8,340,1
3,350,1
4,350,4
5,350,0
6,350,1
7,350,1
8,350,1
3,360,1
4,360,4
5,360,0
6,360,1
7,360,1
8,360,1
3,370,1
4,370,4
5,370,0
6,370,1
7,370,1
8,370,1
3,380,1
4,380,4
5,380,0
6,380,1
7,380,1
8,380,1
3,390,1
4,390,4
5,390,0
6,390,1
7,390,1
8,390,1
3,400,1
4,400,4
5,400,0
6,400,1
7,400,1
8,400,1
3,410,1
4,410,4
5,410,0
6,410,1
7,410,1
8,410,1
3,420,1
4,420,4
5,420,0
6,420,1
7,420,1
8,420,1
3,430,1
4,430,4
5,430,0
6,430,1
7,430,1
8,430,1
3,440,1
4,440,4
5,440,0
6,440,1
7,440,1
8,440,1
3,450,1
4,450,4
5,450,0
6,450,1
7,450,1
8,450,1
3,460,1
4,460,4
5,460,0
6,460,1
7,460,1
8,460,1
3,470,1
4,470,4
5,470,0
6,470,1
7,470,1
8,470,1
3,480,1
4,480,4
5,480,0
6,480,1
7,480,1
8,480,1
3,490,1
4,490,4
5,490,0
6,490,1
7,490,1
8,490,1
3,500,1
4,500,4
